(chaussures) bata	ba.ta	ɓa1.ta1
phare	faʁ	fa1
phase	faz	fa1
phosphate	fɔs.fat	fot5.fat5
phosphore	fo.sfɔʁ	fot5.fɔ1
piano	pja.no	pi1.a1.no1
pignon	pi.ɲɔ̃	ɲoŋ͡m1
pile	pil	ɓin1
pile	pil	pin1
pince	pɛ̃s	pɛŋ1
pinceau	pɛ̃.so	pɛŋ1.so1
pique	pik	ɓik5
pique	pik	pik5
piston	pi.stõ	pit5.toŋ͡m1
plafond	pla.fõ	la1.foŋ͡m1
pommade	pɔ.mad	pɔm1.mat5
pomme	pɔm	ɓɔm1
pompe	põp	ɓɤm1
porte-bagages	pɔʁt.ba.gaʒ	ɓa1.ɣa1
poudre	pudʁ	ɓot6
poulie	pu.li	pu1.li1
poupée	pu.pe	ɓup5.ɓe1
quai	kɛ	kɛ2
quart	kaʁ	ka1
queue	kø	kɔ1
raccord	ʁa.kɔʁ	zăk5.kɔ1
radar	ʁa.daʁ	za1.ɗa1
radian	ʁa.djɑ̃	za1.ɗi1.an1
radio	ʁa.djo	ɹa1.ɗi1.o1
radio	ʁa.djo	ɾa1.ɗi1.o1
radio	ʁa.djo	za1.ɗi1.o1
radium	ʁa.djɔm	za1.ɗi1
rafle	ʁa.flə	zap5
ragoût	ʁa.gu	la1.ɣu1
ragoût	ʁa.gu	za1.ɣu1
rail	ʁaj	zăj1
ré (musique)	ʁe	ze1
relais	rə.lɛ	zɤ1.lɛ1
remorque	ʁə.mɔʁk	mɔk͡p5
remorque	ʁə.mɔʁk	zɤ2.mɔk͡p6
ressort	ʁə.sɔʁ	lɔ2.sɔ1
rhum	ʁɔm	zum1
rideau	ʁi.do	zi1.ɗo1
rivet	ʁi.vɛ	zi1.ve1
robot	ʁo.bo	zo1.ɓɤt5
robot	ʁo.bo	zo1.ɓot5
röntgen	ʁœn.tgɛn	zɤn1.ɣɛn1
roquette	ʁɔ.kɛt	zok͡p5.kɛt5
rôti	ʁo.ti	zo1.ti1
roue libre	ru.li.bʁ(ə)	lip5
rouleau	ʁu.lo	lo1
rouleau	ʁu.lo	zu1.lo1
ruban	ʁy.bã	ɓăŋ1
sac	sak	săk5
sacoche	sa.kɔʃ	sa2.kot6
sagoutier	sa.gu.tje	sa1.ɣo1.tɕe1
sagoutier	sa.gu.tje	sa1.ɣu1
salade	sa.lad	sa2.lɛk5
sandale	sã.dal	săŋ1.ɗan1
satan	sa.tɑ͂	sa1.tăŋ1
satin	sa.tɛ͂	sa1.tɛŋ1
sauce	sos	sot5
saucisse	so.sis	suk͡p5.sik5
savon	sa.võ	sa2.ɓoŋ͡m1
